
Genotype	Merge_A	Merge_B
12mi_5	AN20N001_CKDL200149282-1a-AK4958-7UDI938_HNLFVDSXX_L1	AN20NSCR000396_CKDL210007203-1a-AK4980-AK5009_H3MTWDSX2_L1
12mi_9	AN20N027_CKDL200149282-1a-GG07-7UDI938_HNLFVDSXX_L1	AN20NSCR000399_CKDL210007203-1a-GG11-AK5009_H3MTWDSX2_L1
12mi_1	AN20N029_CKDL200149282-1a-AK4248-7UDI938_HNLFVDSXX_L1	AN20NSCR000408_CKDL210007203-1a-AK4984-AK5009_H3MTWDSX2_L1
FUL_2	AN20N013_CKDL200149282-1a-AK4966-7UDI938_HNLFVDSXX_L1	AN18N332_USPD16097229-AK4990-AK12976_HJM33DSXX_L3
FUL_1	AN20N014_CKDL200149282-1a-AK4967-7UDI938_HNLFVDSXX_L1	AN18N331_USPD16097229-AK4989-AK12976_HJM33DSXX_L3
SAL_5	AN20N022_CKDL200149282-1a-AK1864-7UDI938_HNLFVDSXX_L1	AN18N335_USPD16097229-SN36-AK12976_HJM33DSXX_L3
SAL_4	AN20N031_CKDL200149282-1a-AK1846-7UDI938_HNLFVDSXX_L1	AN18N334_USPD16097229-AK4992-AK12976_HJM33DSXX_L3
WAL_8	AN20N024_CKDL200149282-1a-AK4975-7UDI938_HNLFVDSXX_L1	AN18N338_USPD16097229-AK4994-AK12976_HJM33DSXX_L3
